Date,ACC,ADANIENT,ADANIPORTS,ADANIPOWER,AMARAJABAT,AMBUJACEM,APOLLOHOSP,APOLLOTYRE,ARVIND,ASHOKLEY,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BALKRISIND,BANKBARODA,BANKINDIA,BATAINDIA,BEL,BERGEPAINT,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,BSOFT,CADILAHC,CANBK,CASTROLIND,CENTURYTEX,CESC,CHOLAFIN,CIPLA,COALINDIA,COLPAL,CONCOR,CUMMINSIND,DABUR,DHFL,DISHTV,DIVISLAB,DLF,DRREDDY,EICHERMOT,ENGINERSIN,EQUITAS,ESCORTS,EXIDEIND,FEDERALBNK,GAIL,GLENMARK,GMRINFRA,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HEXAWARE,HINDALCO,HINDPETRO,HINDUNILVR,HINDZINC,IBULHSGFIN,ICICIBANK,ICICIPRULI,IDBI,IDEA,IDFCFIRSTB,IGL,INDIGO,INDUSINDBK,INFRATEL,INFY,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBLFOOD,JUSTDIAL,KAJARIACER,KOTAKBANK,L&TFH,LICHSGFIN,LT,LUPIN,M&M,M&MFIN,MANAPPURAM,MARICO,MARUTI,MCDOWELL-N,MCX,MFSL,MGL,MINDTREE,MOTHERSUMI,MRF,MUTHOOTFIN,NATIONALUM,NBCC,NCC,NESTLEIND,NIITTECH,NMDC,NTPC,OFSS,OIL,ONGC,PAGEIND,PEL,PETRONET,PFC,PIDILITIND,PNB,POWERGRID,PVR,RAMCOCEM,RAYMOND,RBLBANK,RECLTD,RELCAPITAL,RELIANCE,RELINFRA,SAIL,SBIN,SHREECEM,SIEMENS,SRF,SRTRANSFIN,STAR,SUNPHARMA,SUNTV,TATACHEM,TATAELXSI,TATAGLOBAL,TATAMOTORS,TATAMTRDVR,TATAPOWER,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,TORNTPOWER,TVSMOTOR,UBL,UJJIVAN,ULTRACEMCO,UNIONBANK,UPL,VEDL,VOLTAS,WIPRO,YESBANK,ZEEL
2021-07-16,2129.35,1395.5,687.6,105.65,727.85,383.05,3779.1,230.85,108.15,127.85,2989.3,975.55,771.15,3931.95,12745.7,6125.45,2385.25,81.7,75.2,1618.7,179.65,843.85,807.35,541.15,66.25,409.3,15287.95,448.0,3441.0,420.05,643.85,151.3,143.35,719.5,83.81,512.4,977.15,145.55,1745.6,661.4,857.5,580.3,16.7,14.35,4757.6,330.8,5406.55,2617.25,77.5,130.35,1193.7,184.05,87.9,144.8,687.05,31.1,951.1,1572.3,1077.65,1005.0,2536.9,1522.35,2904.7,,405.5,268.1,2417.4,344.1,275.55,660.3,627.05,37.8,9.45,54.05,552.6,1809.05,1044.3,,1555.45,106.1,207.9,405.95,703.6,3145.2,1072.7,1003.55,1749.5,94.9,468.5,1618.75,1179.75,779.8,162.0,186.95,524.7,7303.55,667.4,1717.5,1064.5,1152.75,2736.2,244.15,82449.85,1569.2,88.3,52.9,94.3,17654.2,,178.7,119.1,4019.4,156.65,116.8,33140.9,2351.25,221.65,127.55,2244.2,40.85,175.39,1368.8,1126.0,453.3,214.85,151.65,19.9,2112.4,80.0,127.2,430.0,28096.15,2013.3,7761.85,1449.35,789.75,688.6,533.8,781.0,4302.65,,311.25,144.65,124.15,1278.45,3194.8,1103.15,1695.35,2990.75,480.5,611.65,1447.9,242.1,7334.55,36.6,837.55,272.5,1051.05,577.75,13.4,208.95
2021-07-19,2151.9,1380.6,673.7,102.15,722.3,386.55,3883.75,225.35,105.05,124.75,2981.95,965.1,755.2,3882.85,12721.1,6015.4,2344.7,80.15,73.9,1607.0,186.0,835.3,812.05,538.45,64.0,411.4,15218.5,453.9,3450.15,406.6,639.5,148.15,143.45,719.55,84.15,506.5,974.0,144.45,1753.3,658.0,861.6,588.8,,14.45,4807.45,331.25,5419.35,2579.75,77.15,128.1,1192.7,181.7,86.0,144.35,682.55,30.25,944.0,1558.8,1089.65,1000.2,2481.65,1471.0,2887.1,,396.95,272.05,2408.65,339.95,270.85,655.9,626.25,37.85,9.15,52.6,549.7,1765.9,1015.85,,1541.7,105.95,207.75,393.45,698.4,3082.65,1018.15,1001.1,1722.8,90.55,460.75,1609.6,1186.65,775.8,156.85,186.2,526.0,7165.55,659.95,1777.7,1065.0,1148.75,2729.65,244.65,82236.3,1541.85,88.95,52.4,92.1,17752.45,,174.85,121.4,4072.15,155.85,114.6,32894.85,2298.6,222.05,127.1,2260.25,40.3,174.86,1347.9,1110.65,469.1,209.3,151.4,20.1,2098.95,78.9,126.65,427.9,27996.85,1973.35,7844.3,1389.85,785.0,689.25,538.85,779.65,4223.35,,308.85,141.75,125.8,1266.4,3184.6,1094.2,1680.35,2969.2,481.1,601.4,1419.3,236.45,7312.35,37.0,833.25,264.9,1039.05,573.8,13.2,206.5
2021-07-20,2308.85,1365.7,672.6,97.05,713.35,404.45,3882.95,221.7,102.2,123.35,3159.05,965.5,745.75,3905.4,12597.15,5941.85,2318.95,78.9,71.5,1554.4,181.2,864.95,798.5,525.75,63.2,404.25,15046.25,453.8,3433.55,402.1,622.5,144.45,141.45,694.55,81.77,490.2,955.15,142.9,1754.45,664.4,853.85,588.2,,13.95,4787.85,322.4,5344.05,2554.85,75.75,121.55,1169.85,178.35,83.75,142.35,667.6,29.2,948.85,1574.1,1103.55,977.2,2458.75,1443.15,2839.0,,383.0,276.15,2434.9,333.0,265.95,641.9,604.8,37.4,9.0,51.2,538.2,1673.95,981.55,,1550.05,105.6,206.8,380.15,682.0,3064.5,988.85,997.65,1702.65,87.65,453.65,1590.35,1174.0,760.2,153.65,182.85,529.9,7232.7,653.65,1712.7,1047.75,1131.8,2762.95,237.9,81640.05,1528.35,85.2,51.15,87.55,17856.1,,171.55,118.45,3957.55,155.45,112.6,32462.75,2198.55,218.9,127.55,2315.65,39.75,173.48,1300.05,1104.05,453.1,204.15,151.4,19.1,2093.8,78.25,122.85,420.9,28082.9,1944.35,7796.95,1395.9,765.95,676.45,529.9,759.65,4190.35,,302.15,138.4,121.8,1233.35,3205.8,1087.2,1671.4,2961.5,475.7,583.05,1411.6,234.55,7424.7,35.9,814.25,256.1,1026.75,568.1,12.95,201.4
2021-07-22,2290.25,1416.75,691.8,101.8,721.8,400.2,3985.3,226.45,108.6,124.05,3106.75,972.1,746.75,3853.2,13064.6,6195.55,2331.45,80.2,72.2,1583.1,184.5,855.7,801.2,546.7,64.55,403.0,15137.3,460.9,3425.3,405.45,620.2,144.9,142.75,701.35,82.47,494.75,949.9,144.7,1788.65,668.3,864.95,588.45,,14.05,4843.25,330.5,5384.5,2560.1,75.95,127.65,1166.95,179.2,84.25,143.8,672.3,29.4,969.65,1582.05,1151.3,978.6,2490.3,1448.7,2838.25,,393.5,276.4,2378.15,327.05,275.2,655.95,635.4,37.75,9.25,52.15,539.5,1694.15,992.15,,1590.2,106.7,207.0,394.4,716.55,3429.95,981.15,976.75,1707.2,87.9,457.4,1642.15,1179.45,758.45,154.4,196.45,529.2,7299.55,674.65,1677.6,1056.0,1147.25,2758.8,237.15,81572.0,1604.65,85.0,51.2,89.6,17994.8,,175.6,119.2,4051.7,161.4,115.5,33128.95,2234.65,220.0,128.85,2310.4,40.0,174.94,1344.4,1106.95,459.75,205.0,152.65,18.8,2120.7,77.35,126.15,422.05,28080.0,1976.25,7907.2,1395.3,776.55,687.3,534.5,762.7,4246.6,,302.55,135.7,123.7,1273.0,3216.35,1148.6,1701.75,3013.55,473.0,581.3,1429.8,235.85,7459.0,36.15,828.0,262.8,1049.2,584.2,13.0,204.85
2021-07-23,2337.55,1401.65,680.05,100.45,723.25,402.3,3918.9,226.8,104.85,124.3,3083.75,963.7,755.4,3841.9,13201.2,6180.9,2333.05,79.85,72.75,1598.55,182.65,854.25,788.9,548.3,63.95,398.15,15055.35,461.35,3439.8,398.0,615.25,146.05,143.75,703.8,81.83,499.05,948.0,144.1,1795.05,663.5,858.3,590.15,,13.85,4824.75,334.15,5422.15,2549.65,74.85,124.3,1160.65,178.7,85.4,142.4,649.9,29.0,980.15,1549.5,1143.75,994.0,2482.5,1442.75,2835.0,,391.75,277.4,2358.1,328.55,283.65,676.65,645.05,37.45,8.35,51.15,538.15,1727.1,989.3,,1590.45,106.0,212.4,397.7,717.55,3569.35,969.55,991.15,1722.95,88.25,454.5,1611.75,1181.2,764.2,154.15,195.45,533.95,7293.85,683.45,1643.6,1081.5,1144.25,2721.25,235.95,81174.85,1567.05,82.45,50.3,88.65,18143.95,,173.5,118.5,4012.1,161.1,115.3,33376.95,2255.05,219.65,128.45,2306.6,40.05,174.75,1318.1,1094.7,448.6,204.5,152.9,17.9,2105.7,73.5,126.55,428.9,27986.4,1975.1,7901.9,1385.6,768.5,694.0,532.25,755.05,4249.3,,295.55,133.65,122.9,1281.4,3212.85,1131.0,1700.95,3043.2,473.45,582.35,1444.45,237.1,7490.3,36.55,819.7,267.8,1045.4,599.15,13.05,205.95
2021-07-26,2369.2,1403.9,682.8,97.95,724.2,408.1,4100.35,222.25,102.1,121.85,3061.2,952.8,756.3,3836.35,13525.05,6162.45,2335.7,79.75,71.85,1577.2,184.6,849.75,783.7,544.05,62.7,389.5,14981.3,456.0,3482.0,400.65,605.55,146.65,143.45,703.45,83.78,491.7,950.55,144.0,1805.95,658.25,851.9,595.35,,14.3,4921.15,333.95,5411.25,2563.2,75.8,124.4,1154.3,178.2,87.25,141.35,626.4,28.25,976.55,1550.25,1162.3,1000.3,2464.3,1434.55,2810.25,,400.05,273.55,2348.7,326.5,285.15,676.75,646.8,38.2,8.3,51.2,546.95,1740.3,981.3,,1603.9,104.65,211.15,403.8,704.55,3559.5,964.7,1004.65,1740.6,87.7,442.65,1597.6,1171.75,754.3,146.3,194.35,537.0,7235.8,657.65,1695.25,1116.5,1139.1,2721.3,230.6,80917.75,1556.8,83.55,49.85,88.5,18101.35,,174.8,119.35,4137.65,161.2,114.55,32938.0,2252.6,218.85,127.8,2321.3,39.35,174.53,1329.95,1123.15,448.15,198.45,150.75,18.75,2076.85,77.15,129.6,423.3,27968.3,1975.65,7834.35,1370.4,769.8,703.4,547.4,758.3,4199.1,,293.15,133.65,122.6,1297.95,3197.55,1120.2,1722.85,3079.2,467.4,584.85,1436.15,235.05,7616.7,36.05,819.95,272.1,1026.95,590.45,13.3,205.75
2021-07-27,2371.7,1396.75,663.2,94.75,718.3,408.8,4078.25,221.75,102.3,122.4,3028.65,905.4,731.7,3821.4,13807.85,6231.45,2315.85,80.0,70.85,1582.7,183.05,843.6,780.35,540.55,61.5,379.55,15038.8,453.3,3450.75,404.75,598.75,148.8,141.5,682.3,83.32,483.55,913.1,142.45,1797.05,639.15,845.65,588.7,,14.2,4791.4,337.0,4843.35,2571.35,75.15,132.25,1142.75,177.4,86.3,139.05,588.75,27.95,998.75,1518.7,1159.4,992.0,2433.95,1439.75,2793.85,,417.35,269.2,2342.4,320.45,277.4,677.45,653.8,38.0,8.4,50.75,546.4,1704.85,975.8,,1602.55,103.95,208.65,419.8,710.65,3669.55,955.4,993.95,1697.95,88.1,443.85,1608.25,1111.6,745.55,148.1,209.5,535.2,7240.25,644.5,1674.15,1123.95,1136.5,2713.9,230.5,80095.35,1560.45,87.15,49.2,86.2,18226.1,,174.55,118.85,4170.5,161.05,114.65,32495.4,2305.6,216.9,123.85,2300.65,39.15,173.89,1359.2,1060.35,446.65,196.15,145.15,18.15,2055.0,75.05,129.75,429.95,27865.15,1942.7,7660.2,1365.7,752.55,688.3,538.45,743.6,4175.75,,291.4,135.4,121.15,1330.65,3182.95,1120.85,1729.05,3002.85,458.3,581.05,1421.35,240.55,7596.25,35.95,812.75,265.45,1020.05,591.45,13.05,200.55
2021-07-28,2393.9,1399.9,665.4,97.05,713.4,409.4,4028.4,220.9,106.3,121.5,3004.1,915.1,722.9,3818.5,13970.55,6262.0,2359.9,78.05,69.9,1598.5,189.95,850.35,778.0,567.9,60.3,381.7,15012.0,453.45,3424.1,405.8,577.35,143.25,140.4,796.05,82.78,481.1,889.9,144.05,1792.35,639.4,836.6,590.1,,14.15,4890.6,332.05,4731.75,2550.4,73.8,129.95,1137.45,176.5,85.55,137.85,587.65,27.55,1000.95,1533.55,1157.6,983.1,2425.8,1417.3,2777.7,,416.3,264.95,2361.4,316.25,273.9,685.05,652.6,37.7,8.35,50.7,546.5,1667.45,992.75,,1605.6,104.0,209.1,419.7,721.7,3660.3,956.7,972.8,1652.85,86.35,433.05,1594.2,1102.95,728.7,142.5,208.35,530.15,7165.05,635.95,1635.1,1114.8,1119.25,2708.8,228.9,79922.75,1546.15,85.5,48.5,85.0,18022.55,,174.2,116.8,4373.3,162.7,114.35,31843.5,2310.75,217.0,125.55,2295.95,38.4,171.08,1335.9,1040.65,466.1,192.95,145.25,17.7,2037.35,73.15,133.85,425.5,27491.45,1942.15,7728.0,1372.95,739.55,687.8,537.65,738.75,4177.0,,284.45,134.0,120.35,1365.0,3197.8,1119.55,1723.55,3084.7,454.6,575.65,1443.55,241.25,7654.65,35.5,814.65,270.1,1016.45,591.95,12.95,200.55
2021-07-29,2364.0,1400.25,659.65,95.4,694.85,408.75,4038.75,216.3,106.9,125.2,2997.45,908.25,717.25,3763.75,14599.05,6400.1,2307.5,80.6,71.65,1612.25,188.8,845.5,785.2,567.15,60.2,382.55,14933.3,449.1,3405.6,405.25,572.0,149.65,140.75,770.2,83.8,487.15,883.1,142.15,1709.5,630.1,842.05,584.6,,14.35,4843.8,340.05,4672.65,2528.15,74.65,131.6,1137.15,174.2,85.9,137.5,591.6,28.05,986.85,1544.6,1178.75,1007.6,2414.8,1418.25,2745.7,,458.1,263.6,2334.75,323.55,280.75,687.5,636.35,37.8,8.25,51.95,547.6,1653.2,992.05,,1617.0,103.9,206.05,437.6,748.4,3723.2,966.75,972.2,1641.65,86.25,414.9,1596.0,1085.9,731.45,148.7,208.6,527.85,6993.5,638.0,1610.25,1114.85,1108.8,2795.5,238.45,79725.5,1563.05,92.95,51.65,86.75,17914.75,,182.75,116.75,4384.8,163.5,114.75,31526.4,2317.7,214.9,127.6,2296.5,39.4,167.4,1361.3,1067.05,453.5,191.3,151.4,17.35,2053.25,73.1,141.95,441.55,27638.95,1953.65,7931.65,1371.0,774.0,703.0,545.15,751.7,4276.95,,292.9,137.85,122.75,1458.6,3195.8,1127.8,1739.15,3037.4,452.2,561.85,1418.35,239.35,7700.45,37.85,819.7,288.6,1031.25,590.45,12.85,199.1
2021-07-30,2394.1,1420.25,674.5,95.85,719.85,411.15,4035.0,223.45,104.0,132.8,2958.45,916.6,708.9,3829.6,14222.2,6228.1,2373.85,80.3,74.4,1619.2,184.65,843.55,771.65,561.65,59.4,386.35,14968.25,445.5,3423.4,401.65,586.1,153.2,138.4,795.75,83.88,475.75,920.05,143.3,1704.4,643.9,852.4,600.7,,14.05,4906.1,337.65,4711.2,2530.25,75.05,128.85,1184.35,178.65,87.45,139.55,607.45,28.4,987.8,1551.35,1173.65,1024.95,2441.15,1426.45,2763.3,,444.8,261.15,2333.3,320.5,275.45,682.5,632.95,37.95,8.25,52.0,557.75,1647.35,981.0,,1610.5,103.15,204.95,431.75,736.95,3775.15,964.15,994.25,1654.8,88.3,410.45,1601.45,1107.4,743.1,151.4,207.35,546.7,6977.7,640.75,1603.25,1122.1,1167.35,2865.2,234.35,79907.45,1554.75,93.5,51.45,87.8,17702.65,,181.2,118.2,4315.45,166.85,115.3,31502.1,2318.6,218.25,129.95,2278.8,39.5,171.15,1400.2,1093.2,440.7,192.95,151.1,18.15,2035.3,76.55,142.05,431.8,28265.75,1953.2,8658.7,1390.1,770.5,773.95,579.6,763.15,4225.9,,293.95,139.75,125.0,1434.3,3167.45,1209.55,1714.55,3071.1,455.2,579.3,1428.6,238.6,7619.2,36.85,808.55,301.85,1059.2,587.15,12.75,202.75
2021-08-02,2424.0,1438.2,692.0,92.85,720.45,418.1,4048.15,228.6,105.9,134.8,2974.05,918.3,721.15,3841.55,14125.15,6200.5,2499.4,80.75,74.2,1681.7,183.8,841.05,785.3,565.15,59.85,390.0,15300.1,457.8,3504.65,397.2,591.85,155.6,138.15,822.6,82.31,526.45,921.05,143.9,1677.85,691.3,860.45,599.05,,14.05,4928.95,351.85,4701.55,2602.6,74.6,126.45,1200.25,176.0,86.55,142.85,605.65,29.0,992.35,1591.65,1185.1,1035.4,2462.05,1422.65,2782.2,,445.8,272.8,2332.8,324.5,287.0,681.4,633.85,37.8,8.25,51.85,557.5,1663.15,988.0,,1631.55,105.5,207.3,424.5,746.7,3733.95,966.25,1000.45,1665.1,89.95,407.85,1613.95,1124.25,757.7,151.85,212.8,535.5,7076.95,651.25,1591.95,1103.25,1185.8,2894.2,234.5,80420.85,1584.65,95.0,50.65,86.65,17714.65,,180.15,117.75,4285.8,165.5,117.1,32465.45,2489.85,219.75,133.6,2262.55,40.7,171.0,1417.85,1094.55,447.4,194.55,156.65,18.5,2072.5,79.1,139.5,434.9,29294.25,1977.95,9004.95,1375.85,762.55,775.0,572.95,774.65,4222.8,,296.85,141.0,133.45,1410.05,3219.4,1210.7,1771.55,3076.35,465.4,572.2,1440.7,239.65,7642.05,36.8,791.05,313.25,1053.5,592.25,12.75,202.45
2021-08-03,2433.1,1442.8,705.05,91.85,724.45,422.2,4092.7,229.55,108.2,141.25,3027.0,916.9,738.6,3828.2,14295.0,6331.9,2519.7,82.65,74.35,1688.7,182.25,845.8,812.2,580.2,59.1,389.3,15238.75,463.4,3573.2,394.05,591.95,157.15,139.7,810.1,80.04,516.65,928.15,144.25,1673.7,699.45,909.7,614.25,,14.05,5006.85,355.15,4721.7,2649.3,74.9,125.05,1213.5,173.0,89.15,143.3,604.4,28.65,1017.1,1592.4,1231.3,1039.45,2554.65,1434.7,2819.1,,448.8,274.65,2386.85,321.25,285.3,690.4,651.0,37.95,7.4,51.7,556.1,1678.75,1022.05,,1655.2,106.15,209.9,421.75,740.3,3784.3,966.1,1028.4,1685.65,89.0,405.9,1634.35,1144.2,770.85,149.5,212.25,543.9,7199.4,652.6,1580.5,1124.7,1188.95,2884.1,236.7,81018.4,1585.4,94.45,49.7,88.05,18284.1,,181.15,117.65,4280.35,166.0,117.9,32922.6,2507.0,220.8,132.0,2264.15,40.3,174.45,1366.4,1107.45,452.35,186.75,155.5,18.1,2087.75,77.35,139.1,446.5,29203.5,2028.2,9040.0,1338.35,786.95,794.8,568.6,772.25,4320.9,,303.7,145.25,132.6,1407.2,3284.9,1226.25,1840.2,3101.5,464.45,571.8,1455.95,236.85,7843.25,37.4,790.55,312.9,1035.35,599.4,12.75,204.3
2021-08-04,2398.6,1429.55,694.7,90.25,721.15,419.05,4066.4,225.45,108.2,135.2,3018.6,906.55,753.8,3832.0,14187.2,6359.15,2496.45,83.5,72.6,1653.75,175.45,842.2,790.85,574.4,58.0,385.6,15455.9,457.15,3578.3,392.2,587.75,156.8,139.95,780.8,78.83,516.65,939.65,144.7,1666.75,692.8,894.65,588.1,,13.6,4964.25,350.45,4768.8,2641.8,73.85,123.75,1234.15,172.85,87.75,142.4,595.8,28.3,988.95,1554.85,1233.75,1039.95,2676.05,1465.3,2805.5,,442.7,272.25,2377.1,319.65,271.15,714.65,669.75,37.7,6.0,49.75,545.55,1662.55,1020.55,,1649.25,105.3,208.6,415.95,747.25,3732.25,967.1,1034.45,1749.95,89.2,409.6,1623.2,1152.2,766.25,154.35,211.1,536.25,7102.9,643.05,1570.85,1108.5,1174.1,2830.2,236.5,80453.0,1592.3,93.35,48.75,86.95,18057.35,,179.2,117.85,4286.4,165.6,117.35,32760.5,2550.5,215.5,130.8,2264.3,39.4,175.25,1373.85,1073.85,443.55,180.4,154.4,17.2,2103.75,73.5,137.55,456.95,29133.15,2043.3,9033.35,1321.5,784.9,785.75,559.85,763.45,4251.35,,298.15,141.35,131.65,1416.2,3273.95,1216.5,1799.6,3073.8,471.75,568.7,1445.4,227.6,7750.0,36.7,785.0,311.0,1032.65,596.8,12.65,201.8
